#,Date-Time (EST),Temperature   (°C),Started,Host Connected,End of File
1,02/04/2026 14:00:00,24.751,Logged,,
2,02/04/2026 14:00:10,24.740,,,
3,02/04/2026 14:00:20,24.740,,,
4,02/04/2026 14:00:30,24.740,,,
5,02/04/2026 14:00:40,24.740,,,
6,02/04/2026 14:00:50,24.729,,,
7,02/04/2026 14:01:00,24.729,,,
8,02/04/2026 14:01:10,24.729,,,
9,02/04/2026 14:01:20,24.729,,,
10,02/04/2026 14:01:30,24.719,,,
11,02/04/2026 14:01:40,24.719,,,
12,02/04/2026 14:01:50,24.719,,,
13,02/04/2026 14:02:00,24.719,,,
14,02/04/2026 14:02:10,24.708,,,
15,02/04/2026 14:02:20,24.719,,,
16,02/04/2026 14:02:30,24.697,,,
17,02/04/2026 14:02:40,24.697,,,
18,02/04/2026 14:02:50,24.697,,,
19,02/04/2026 14:03:00,24.686,,,
20,02/04/2026 14:03:10,24.697,,,
21,02/04/2026 14:03:20,24.686,,,
22,02/04/2026 14:03:30,24.686,,,
23,02/04/2026 14:03:40,24.686,,,
24,02/04/2026 14:03:50,24.686,,,
25,02/04/2026 14:04:00,24.676,,,
26,02/04/2026 14:04:10,24.665,,,
27,02/04/2026 14:04:20,24.665,,,
28,02/04/2026 14:04:30,24.665,,,
29,02/04/2026 14:04:40,24.665,,,
30,02/04/2026 14:04:50,24.654,,,
31,02/04/2026 14:05:00,24.654,,,
32,02/04/2026 14:05:10,24.654,,,
33,02/04/2026 14:05:20,24.654,,,
34,02/04/2026 14:05:30,24.654,,,
35,02/04/2026 14:05:40,24.644,,,
36,02/04/2026 14:05:50,24.633,,,
37,02/04/2026 14:06:00,24.633,,,
38,02/04/2026 14:06:10,24.633,,,
39,02/04/2026 14:06:20,24.633,,,
40,02/04/2026 14:06:30,24.633,,,
41,02/04/2026 14:06:40,24.622,,,
42,02/04/2026 14:06:50,24.622,,,
43,02/04/2026 14:07:00,24.622,,,
44,02/04/2026 14:07:10,24.611,,,
45,02/04/2026 14:07:20,24.611,,,
46,02/04/2026 14:07:30,24.611,,,
47,02/04/2026 14:07:40,24.601,,,
48,02/04/2026 14:07:50,24.601,,,
49,02/04/2026 14:08:00,24.601,,,
50,02/04/2026 14:08:10,24.601,,,
51,02/04/2026 14:08:20,24.590,,,
52,02/04/2026 14:08:30,24.590,,,
53,02/04/2026 14:08:40,24.579,,,
54,02/04/2026 14:08:50,24.579,,,
55,02/04/2026 14:09:00,24.579,,,
56,02/04/2026 14:09:10,24.568,,,
57,02/04/2026 14:09:20,24.568,,,
58,02/04/2026 14:09:30,24.568,,,
59,02/04/2026 14:09:40,24.568,,,
60,02/04/2026 14:09:50,24.568,,,
61,02/04/2026 14:10:00,24.568,,,
62,02/04/2026 14:10:10,24.568,,,
63,02/04/2026 14:10:20,24.568,,,
64,02/04/2026 14:10:30,24.568,,,
65,02/04/2026 14:10:40,24.579,,,
66,02/04/2026 14:10:50,24.590,,,
67,02/04/2026 14:11:00,24.590,,,
68,02/04/2026 14:11:10,24.601,,,
69,02/04/2026 14:11:20,24.601,,,
70,02/04/2026 14:11:30,24.601,,,
71,02/04/2026 14:11:40,24.601,,,
72,02/04/2026 14:11:50,24.611,,,
73,02/04/2026 14:12:00,24.601,,,
74,02/04/2026 14:12:10,24.611,,,
75,02/04/2026 14:12:20,24.611,,,
76,02/04/2026 14:12:30,24.622,,,
77,02/04/2026 14:12:40,24.633,,,
78,02/04/2026 14:12:50,24.633,,,
79,02/04/2026 14:13:00,24.633,,,
80,02/04/2026 14:13:10,24.633,,,
81,02/04/2026 14:13:20,24.633,,,
82,02/04/2026 14:13:30,24.654,,,
83,02/04/2026 14:13:40,24.654,,,
84,02/04/2026 14:13:50,24.654,,,
85,02/04/2026 14:14:00,24.665,,,
86,02/04/2026 14:14:10,24.676,,,
87,02/04/2026 14:14:20,24.676,,,
88,02/04/2026 14:14:30,24.686,,,
89,02/04/2026 14:14:40,24.686,,,
90,02/04/2026 14:14:50,24.697,,,
91,02/04/2026 14:15:00,24.708,,,
92,02/04/2026 14:15:10,24.719,,,
93,02/04/2026 14:15:20,24.719,,,
94,02/04/2026 14:15:30,24.719,,,
95,02/04/2026 14:15:40,24.740,,,
96,02/04/2026 14:15:50,24.740,,,
97,02/04/2026 14:16:00,24.740,,,
98,02/04/2026 14:16:10,24.751,,,
99,02/04/2026 14:16:20,24.751,,,
100,02/04/2026 14:16:30,24.772,,,
101,02/04/2026 14:16:40,24.772,,,
102,02/04/2026 14:16:50,24.783,,,
103,02/04/2026 14:17:00,24.794,,,
104,02/04/2026 14:17:10,24.804,,,
105,02/04/2026 14:17:20,24.804,,,
106,02/04/2026 14:17:30,24.804,,,
107,02/04/2026 14:17:40,24.826,,,
108,02/04/2026 14:17:50,24.826,,,
109,02/04/2026 14:18:00,24.826,,,
110,02/04/2026 14:18:10,24.837,,,
111,02/04/2026 14:18:20,24.847,,,
112,02/04/2026 14:18:30,24.858,,,
113,02/04/2026 14:18:40,24.858,,,
114,02/04/2026 14:18:50,24.869,,,
115,02/04/2026 14:19:00,24.879,,,
116,02/04/2026 14:19:10,24.879,,,
