x,y,Temperature C
0,0,24.8
0,20,24.8
0,40,24.7
0,60,24.6
0,80,24.6
0,100,24.7
10,0,24.8
10,20,24.8
10,40,24.7
10,60,24.6
10,80,24.6
10,100,24.6
20,0,16.28
20,20,24.57
20,40,24.64
20,60,24.52
20,80,24.86
20,100,24.65
30,0,16.8
30,20,23.49
30,40,24.41
30,60,24.32
30,80,24.82
30,100,24.57
40,0,20.6
40,20,23.69
40,40,24.53
40,60,24.29
40,80,24.57
40,100,24.51
50,0,24
50,20,24
50,40,24.1
50,60,24.3
50,80,24.52
50,100,24.46
58,0,24.2
58,20,23.1
58,40,23.88
58,60,24.2
58,80,24.47
58,100,24.48
