x,y,Temperature C
0,0,25.05
0,10,24.89
0,20,24.92
0,30,24.66
0,40,24.76
0,50,24.73
0,60,24.39
0,70,24.09
10,0,21.82
10,10,23.5
10,20,23.43
10,30,24.22
10,40,24.44
10,50,24.08
10,60,23.86
10,70,23.96
20,0,17.36
20,10,19.8
20,20,23.06
20,30,23.55
20,40,24.25
20,50,23.81
20,60,23.83
20,70,23.97
30,0,19.75
30,10,13.85
30,20,23.4
30,30,23.83
30,40,24.38
30,50,23.84
30,60,23.96
30,70,24.27
40,0,19.29
40,10,21.25
40,20,23.63
40,30,24.22
40,40,24.52
40,50,24.22
40,60,24.32
40,70,24.29
50,0,23.15
50,10,20.49
50,20,24.09
50,30,24.5
50,40,24.68
50,50,24.53
50,60,24.55
50,70,24.38
58,0,24.79
58,10,23.17
58,20,24.47
58,30,24.61
58,40,24.6
58,50,24.59
58,60,24.61
58,70,24.41
