Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
2059,3/10/26,12:13:40,24.8,T1TTemp C,24.8,T2TTemp C,24.7,T3TTemp C,24.6,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.3,T7TTemp C,24.4,T8TTemp C,24.2,T9TTemp C,24.3,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2060,3/10/26,12:13:41,24.8,T1TTemp C,24.8,T2TTemp C,24.7,T3TTemp C,24.6,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.3,T7TTemp C,24.4,T8TTemp C,24.2,T9TTemp C,24.3,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2061,3/10/26,12:13:42,24.8,T1TTemp C,24.8,T2TTemp C,24.7,T3TTemp C,24.6,T4TTemp C,24.7,T5TTemp C,24.8,T6TTemp C,24.3,T7TTemp C,24.4,T8TTemp C,24.2,T9TTemp C,24.3,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2062,3/10/26,12:13:43,24.8,T1TTemp C,24.8,T2TTemp C,24.7,T3TTemp C,24.6,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.3,T7TTemp C,24.4,T8TTemp C,24.2,T9TTemp C,24.3,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2063,3/10/26,12:13:44,24.8,T1TTemp C,24.8,T2TTemp C,24.7,T3TTemp C,24.6,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.3,T7TTemp C,24.4,T8TTemp C,24.2,T9TTemp C,24.3,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2064,3/10/26,12:13:45,24.8,T1TTemp C,24.8,T2TTemp C,24.7,T3TTemp C,24.6,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.4,T7TTemp C,24.5,T8TTemp C,24.3,T9TTemp C,24.3,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2065,3/10/26,12:13:46,24.8,T1TTemp C,24.8,T2TTemp C,24.7,T3TTemp C,24.6,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.4,T7TTemp C,24.5,T8TTemp C,24.3,T9TTemp C,24.3,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2066,3/10/26,12:13:47,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.7,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.4,T7TTemp C,24.5,T8TTemp C,24.3,T9TTemp C,24.4,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2067,3/10/26,12:13:48,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.7,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.4,T7TTemp C,24.5,T8TTemp C,24.3,T9TTemp C,24.4,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2068,3/10/26,12:13:49,24.8,T1TTemp C,24.8,T2TTemp C,24.8,T3TTemp C,24.7,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.4,T7TTemp C,24.5,T8TTemp C,24.3,T9TTemp C,24.4,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
