"cross_section","longitudinal","depth","Place","Date","Time","Temperature","Unit"
0,-5,0,"MEAN",2026-03-10,12:13:40,24.8666666666667,"1"
0,-5,3.2,"MEAN",2026-03-10,12:13:40,24.8666666666667,"2"
0,-5,6.4,"MEAN",2026-03-10,12:13:40,24.7766666666667,"3"
0,-5,9.6,"MEAN",2026-03-10,12:13:40,24.73,"4"
0,-5,12.8,"MEAN",2026-03-10,12:13:40,24.79,"5"
0,-5,16,"MEAN",2026-03-10,12:13:40,24.8,"6"
0,-5,19.2,"MEAN",2026-03-10,12:13:40,24.4566666666667,"7"
0,-5,22.4,"MEAN",2026-03-10,12:13:40,24.5433333333333,"8"
0,-5,25.6,"MEAN",2026-03-10,12:13:40,24.35,"9"
0,-5,28.8,"MEAN",2026-03-10,12:13:40,24.43,"10"
5,-5,0,"MEAN",2026-03-10,12:14:40,24.88,"1"
5,-5,3.2,"MEAN",2026-03-10,12:14:40,24.9,"2"
5,-5,6.4,"MEAN",2026-03-10,12:14:40,24.8,"3"
5,-5,9.6,"MEAN",2026-03-10,12:14:40,24.8,"4"
5,-5,12.8,"MEAN",2026-03-10,12:14:40,24.8,"5"
5,-5,16,"MEAN",2026-03-10,12:14:40,24.8566666666667,"6"
5,-5,19.2,"MEAN",2026-03-10,12:14:40,24.6,"7"
5,-5,22.4,"MEAN",2026-03-10,12:14:40,24.7,"8"
5,-5,25.6,"MEAN",2026-03-10,12:14:40,24.5,"9"
5,-5,28.8,"MEAN",2026-03-10,12:14:40,24.5,"10"
10,-5,0,"MEAN",2026-03-10,12:15:40,24.8,"1"
10,-5,3.2,"MEAN",2026-03-10,12:15:40,24.8733333333333,"2"
10,-5,6.4,"MEAN",2026-03-10,12:15:40,24.8,"3"
10,-5,9.6,"MEAN",2026-03-10,12:15:40,24.8,"4"
10,-5,12.8,"MEAN",2026-03-10,12:15:40,24.8,"5"
10,-5,16,"MEAN",2026-03-10,12:15:40,24.8,"6"
10,-5,19.2,"MEAN",2026-03-10,12:15:40,24.5633333333333,"7"
10,-5,22.4,"MEAN",2026-03-10,12:15:40,24.6,"8"
10,-5,25.6,"MEAN",2026-03-10,12:15:40,24.4,"9"
10,-5,28.8,"MEAN",2026-03-10,12:15:40,24.5,"10"
15,-5,0,"MEAN",2026-03-10,12:16:25,24.5366666666667,"1"
15,-5,3.2,"MEAN",2026-03-10,12:16:25,24.4766666666667,"2"
15,-5,6.4,"MEAN",2026-03-10,12:16:25,24.41,"3"
15,-5,9.6,"MEAN",2026-03-10,12:16:25,24.8,"4"
15,-5,12.8,"MEAN",2026-03-10,12:16:25,24.7,"5"
15,-5,16,"MEAN",2026-03-10,12:16:25,24.8,"6"
15,-5,19.2,"MEAN",2026-03-10,12:16:25,24.5,"7"
15,-5,22.4,"MEAN",2026-03-10,12:16:25,24.6,"8"
15,-5,25.6,"MEAN",2026-03-10,12:16:25,24.4,"9"
15,-5,28.8,"MEAN",2026-03-10,12:16:25,24.5,"10"
20,-5,0,"MEAN",2026-03-10,12:17:11,21.751724137931,"1"
20,-5,3.2,"MEAN",2026-03-10,12:17:11,21.9655172413793,"2"
20,-5,6.4,"MEAN",2026-03-10,12:17:11,23.1586206896552,"3"
20,-5,9.6,"MEAN",2026-03-10,12:17:11,24.4586206896552,"4"
20,-5,12.8,"MEAN",2026-03-10,12:17:11,24.6620689655172,"5"
20,-5,16,"MEAN",2026-03-10,12:17:11,24.8137931034483,"6"
20,-5,19.2,"MEAN",2026-03-10,12:17:11,24.5103448275862,"7"
20,-5,22.4,"MEAN",2026-03-10,12:17:11,24.6103448275862,"8"
20,-5,25.6,"MEAN",2026-03-10,12:17:11,24.3103448275862,"9"
20,-5,28.8,"MEAN",2026-03-10,12:17:11,24.5103448275862,"10"
25,-5,0,"MEAN",2026-03-10,12:18:10,19.65625,"1"
25,-5,3.2,"MEAN",2026-03-10,12:18:10,19.75625,"2"
25,-5,6.4,"MEAN",2026-03-10,12:18:10,21.8625,"3"
25,-5,9.6,"MEAN",2026-03-10,12:18:10,24.0625,"4"
25,-5,12.8,"MEAN",2026-03-10,12:18:10,24.50625,"5"
25,-5,16,"MEAN",2026-03-10,12:18:10,24.9,"6"
25,-5,19.2,"MEAN",2026-03-10,12:18:10,24.5,"7"
25,-5,22.4,"MEAN",2026-03-10,12:18:10,24.7,"8"
25,-5,25.6,"MEAN",2026-03-10,12:18:10,24.4,"9"
25,-5,28.8,"MEAN",2026-03-10,12:18:10,24.6,"10"
30,-5,0,"MEAN",2026-03-10,12:19:10,18.5933333333333,"1"
30,-5,3.2,"MEAN",2026-03-10,12:19:10,19.4066666666667,"2"
30,-5,6.4,"MEAN",2026-03-10,12:19:10,22.3933333333333,"3"
30,-5,9.6,"MEAN",2026-03-10,12:19:10,23.9966666666667,"4"
30,-5,12.8,"MEAN",2026-03-10,12:19:10,24.4766666666667,"5"
30,-5,16,"MEAN",2026-03-10,12:19:10,24.8033333333333,"6"
30,-5,19.2,"MEAN",2026-03-10,12:19:10,24.5,"7"
30,-5,22.4,"MEAN",2026-03-10,12:19:10,24.7,"8"
30,-5,25.6,"MEAN",2026-03-10,12:19:10,24.3,"9"
30,-5,28.8,"MEAN",2026-03-10,12:19:10,24.5,"10"
35,-5,0,"MEAN",2026-03-10,12:20:10,17.4161290322581,"1"
35,-5,3.2,"MEAN",2026-03-10,12:20:10,19.5709677419355,"2"
35,-5,6.4,"MEAN",2026-03-10,12:20:10,22.1709677419355,"3"
