cross_section,longitudinal,depth,Temperature,Unit
0,-5,0,24.6,T1TTemp C
5,-5,0,24.9,T1TTemp C
10,-5,0,19.2,T1TTemp C
15,-5,0,21.8,T1TTemp C
20,-5,0,23.3,T1TTemp C
25,-5,0,20.9,T1TTemp C
30,-5,0,16.9,T1TTemp C
35,-5,0,20.7,T1TTemp C
40,-5,0,24.9,T1TTemp C
45,-5,0,24.7,T1TTemp C
50,-5,0,24.7,T1TTemp C
55,-5,0,24.1,T1TTemp C
58,-5,0,26,T1KTemp C
0,0,0,26,T1KTemp C
5,0,0,25.8,T1KTemp C
10,0,0,22.7,T1KTemp C
15,0,0,20.3,T1KTemp C
20,0,0,16.8,T1KTemp C
25,0,0,19.5,T1KTemp C
30,0,0,24.1,T1KTemp C
35,0,0,21,T1KTemp C
40,0,0,24.5,T1KTemp C
45,0,0,25.8,T1KTemp C
50,0,0,25.3,T1KTemp C
55,0,0,25,T1KTemp C
58,0,0,24.9,T1KTemp C
0,5,0,25.9,T1KTemp C
5,5,0,25.7,T1KTemp C
10,5,0,25.8,T1KTemp C
15,5,0,24.5,T1KTemp C
20,5,0,19.1,T1KTemp C
25,5,0,15.5,T1KTemp C
30,5,0,20.9,T1KTemp C
35,5,0,23.7,T1KTemp C
40,5,0,23.3,T1KTemp C
45,5,0,24.7,T1KTemp C
50,5,0,24.4,T1KTemp C
55,5,0,25.6,T1KTemp C
58,5,0,26,T1KTemp C
0,10,0,26,T1KTemp C
5,10,0,25.8,T1KTemp C
10,10,0,26,T1KTemp C
15,10,0,25.7,T1KTemp C
20,10,0,24.7,T1KTemp C
25,10,0,23.5,T1KTemp C
30,10,0,22.9,T1KTemp C
35,10,0,21.5,T1KTemp C
40,10,0,19.3,T1KTemp C
45,10,0,18.8,T1KTemp C
50,10,0,24.6,T1KTemp C
55,10,0,25.3,T1KTemp C
58,10,0,25.1,T1KTemp C
0,15,0,25.4,T1KTemp C
5,15,0,25.7,T1KTemp C
10,15,0,25.6,T1KTemp C
15,15,0,25.4,T1KTemp C
20,15,0,25.5,T1KTemp C
25,15,0,25.4,T1KTemp C
30,15,0,24.5,T1KTemp C
35,15,0,23.5,T1KTemp C
40,15,0,21.9,T1KTemp C
45,15,0,17,T1KTemp C
50,15,0,19,T1KTemp C
55,15,0,23.4,T1KTemp C
58,15,0,24.4,T1KTemp C
0,20,0,23.9,T1KTemp C
5,20,0,25.2,T1KTemp C
10,20,0,25.4,T1KTemp C
15,20,0,25.3,T1KTemp C
20,20,0,25.1,T1KTemp C
25,20,0,25,T1KTemp C
30,20,0,24.9,T1KTemp C
35,20,0,23.4,T1KTemp C
40,20,0,24.1,T1KTemp C
45,20,0,23.4,T1KTemp C
50,20,0,22.1,T1KTemp C
55,20,0,23.6,T1KTemp C
58,20,0,24.4,T1KTemp C
0,25,0,24.7,T1KTemp C
5,25,0,25.1,T1KTemp C
10,25,0,25.2,T1KTemp C
15,25,0,25,T1KTemp C
20,25,0,25.1,T1KTemp C
25,25,0,24.9,T1KTemp C
30,25,0,24.2,T1KTemp C
35,25,0,24.1,T1KTemp C
40,25,0,23.6,T1KTemp C
45,25,0,22.9,T1KTemp C
50,25,0,22.9,T1KTemp C
55,25,0,23.8,T1KTemp C
58,25,0,23.2,T1KTemp C
0,30,0,24.7,T1KTemp C
5,30,0,24.7,T1KTemp C
10,30,0,24.9,T1KTemp C
15,30,0,25.1,T1KTemp C
20,30,0,25.1,T1KTemp C
25,30,0,25.1,T1KTemp C
30,30,0,24.9,T1KTemp C
35,30,0,24.4,T1KTemp C
40,30,0,23.6,T1KTemp C
45,30,0,23.9,T1KTemp C
50,30,0,23.9,T1KTemp C
55,30,0,24.4,T1KTemp C
58,30,0,24.5,T1KTemp C
0,35,0,24.8,T1KTemp C
5,35,0,24.9,T1KTemp C
10,35,0,25.1,T1KTemp C
15,35,0,25.1,T1KTemp C
20,35,0,25.2,T1KTemp C
25,35,0,25.1,T1KTemp C
30,35,0,25.1,T1KTemp C
35,35,0,24.6,T1KTemp C
40,35,0,24.2,T1KTemp C
45,35,0,23.6,T1KTemp C
50,35,0,24.3,T1KTemp C
55,35,0,24.6,T1KTemp C
58,35,0,24.5,T1KTemp C
0,40,0,24.4,T1KTemp C
5,40,0,25.1,T1KTemp C
10,40,0,25,T1KTemp C
15,40,0,25.4,T1KTemp C
20,40,0,25.3,T1KTemp C
25,40,0,25.3,T1KTemp C
30,40,0,25.2,T1KTemp C
35,40,0,24.9,T1KTemp C
40,40,0,24.8,T1KTemp C
45,40,0,24.5,T1KTemp C
50,40,0,24.9,T1KTemp C
55,40,0,24.7,T1KTemp C
58,40,0,24.2,T1KTemp C
0,-5,3.2,25.3,T2TTemp C
5,-5,3.2,25.4,T2TTemp C
10,-5,3.2,25.1,T2TTemp C
15,-5,3.2,25.1,T2TTemp C
20,-5,3.2,25.2,T2TTemp C
25,-5,3.2,25.1,T2TTemp C
30,-5,3.2,25,T2TTemp C
35,-5,3.2,24.6,T2TTemp C
40,-5,3.2,25.3,T2TTemp C
45,-5,3.2,25.2,T2TTemp C
50,-5,3.2,25.2,T2TTemp C
55,-5,3.2,25.1,T2TTemp C
58,-5,3.2,25.9,T2KTemp C
0,0,3.2,25.9,T2KTemp C
5,0,3.2,25.9,T2KTemp C
10,0,3.2,25.8,T2KTemp C
15,0,3.2,25.7,T2KTemp C
20,0,3.2,24.7,T2KTemp C
25,0,3.2,25.4,T2KTemp C
30,0,3.2,25.6,T2KTemp C
35,0,3.2,25.8,T2KTemp C
40,0,3.2,25.8,T2KTemp C
45,0,3.2,26,T2KTemp C
50,0,3.2,25.9,T2KTemp C
55,0,3.2,25.9,T2KTemp C
58,0,3.2,25.9,T2KTemp C
0,5,3.2,26,T2KTemp C
5,5,3.2,25.9,T2KTemp C
10,5,3.2,26.2,T2KTemp C
15,5,3.2,25.9,T2KTemp C
20,5,3.2,25.1,T2KTemp C
25,5,3.2,24.7,T2KTemp C
30,5,3.2,25.8,T2KTemp C
35,5,3.2,25.9,T2KTemp C
40,5,3.2,26,T2KTemp C
45,5,3.2,25.8,T2KTemp C
50,5,3.2,25.8,T2KTemp C
55,5,3.2,25.9,T2KTemp C
58,5,3.2,25.9,T2KTemp C
0,10,3.2,26,T2KTemp C
5,10,3.2,25.8,T2KTemp C
10,10,3.2,25.9,T2KTemp C
15,10,3.2,25.9,T2KTemp C
20,10,3.2,25.5,T2KTemp C
25,10,3.2,25.2,T2KTemp C
30,10,3.2,25.3,T2KTemp C
35,10,3.2,25.4,T2KTemp C
40,10,3.2,24.2,T2KTemp C
45,10,3.2,25.5,T2KTemp C
50,10,3.2,25.6,T2KTemp C
55,10,3.2,25.5,T2KTemp C
58,10,3.2,25.2,T2KTemp C
0,15,3.2,25.5,T2KTemp C
5,15,3.2,25.5,T2KTemp C
10,15,3.2,25.6,T2KTemp C
15,15,3.2,25.4,T2KTemp C
20,15,3.2,25.5,T2KTemp C
25,15,3.2,25.6,T2KTemp C
30,15,3.2,25.2,T2KTemp C
35,15,3.2,24.5,T2KTemp C
40,15,3.2,25,T2KTemp C
45,15,3.2,24.8,T2KTemp C
50,15,3.2,23.4,T2KTemp C
55,15,3.2,25.1,T2KTemp C
58,15,3.2,25.3,T2KTemp C
0,20,3.2,25.3,T2KTemp C
5,20,3.2,25.3,T2KTemp C
10,20,3.2,25.5,T2KTemp C
15,20,3.2,25.4,T2KTemp C
20,20,3.2,25.5,T2KTemp C
25,20,3.2,25.4,T2KTemp C
30,20,3.2,25.4,T2KTemp C
35,20,3.2,24.5,T2KTemp C
40,20,3.2,25.2,T2KTemp C
45,20,3.2,25.2,T2KTemp C
50,20,3.2,24.8,T2KTemp C
55,20,3.2,25.2,T2KTemp C
58,20,3.2,25.1,T2KTemp C
0,25,3.2,25.2,T2KTemp C
5,25,3.2,25.3,T2KTemp C
10,25,3.2,25.4,T2KTemp C
15,25,3.2,25.3,T2KTemp C
20,25,3.2,25.4,T2KTemp C
25,25,3.2,25.2,T2KTemp C
30,25,3.2,25.1,T2KTemp C
35,25,3.2,24.8,T2KTemp C
40,25,3.2,24.2,T2KTemp C
45,25,3.2,24.4,T2KTemp C
50,25,3.2,24.7,T2KTemp C
55,25,3.2,25.2,T2KTemp C
58,25,3.2,24.8,T2KTemp C
0,30,3.2,25.2,T2KTemp C
5,30,3.2,25.2,T2KTemp C
10,30,3.2,25.2,T2KTemp C
15,30,3.2,25.3,T2KTemp C
20,30,3.2,25.3,T2KTemp C
25,30,3.2,25.3,T2KTemp C
30,30,3.2,25.2,T2KTemp C
35,30,3.2,24.9,T2KTemp C
40,30,3.2,24.7,T2KTemp C
45,30,3.2,24.7,T2KTemp C
50,30,3.2,25.1,T2KTemp C
55,30,3.2,25.3,T2KTemp C
58,30,3.2,25.1,T2KTemp C
0,35,3.2,25,T2KTemp C
5,35,3.2,25.2,T2KTemp C
10,35,3.2,25.2,T2KTemp C
15,35,3.2,25.3,T2KTemp C
20,35,3.2,25.4,T2KTemp C
25,35,3.2,25.4,T2KTemp C
30,35,3.2,25.4,T2KTemp C
