cross_section,longitudinal,depth,Temperature,Unit
0,0,0,24.3,T1TTemp C
5,0,0,24.5,T1TTemp C
10,0,0,24.4,T1TTemp C
15,0,0,24.4,T1TTemp C
20,0,0,23.8,T1TTemp C
25,0,0,16.1,T1TTemp C
30,0,0,17,T1TTemp C
35,0,0,15,T1TTemp C
40,0,0,14.5,T1TTemp C
45,0,0,21.5,T1TTemp C
50,0,0,23.8,T1TTemp C
55,0,0,24.3,T1TTemp C
58,0,0,24.4,T1TTemp C
0,5,0,24.6,T1TTemp C
5,5,0,25.1,T1TTemp C
10,5,0,23.5,T1TTemp C
15,5,0,24,T1TTemp C
20,5,0,20.7,T1TTemp C
25,5,0,17,T1TTemp C
30,5,0,14.2,T1TTemp C
35,5,0,13.4,T1TTemp C
40,5,0,19,T1TTemp C
45,5,0,21.1,T1TTemp C
50,5,0,24,T1TTemp C
55,5,0,23.6,T1TTemp C
58,5,0,24.9,T1TTemp C
0,0,3.2,24.4,T2TTemp C
5,0,3.2,24.7,T2TTemp C
10,0,3.2,24.4,T2TTemp C
15,0,3.2,24.3,T2TTemp C
20,0,3.2,24.3,T2TTemp C
25,0,3.2,21,T2TTemp C
30,0,3.2,21.6,T2TTemp C
35,0,3.2,17.3,T2TTemp C
40,0,3.2,17.3,T2TTemp C
45,0,3.2,22.1,T2TTemp C
50,0,3.2,23.3,T2TTemp C
55,0,3.2,24.6,T2TTemp C
58,0,3.2,25.3,T2TTemp C
0,5,3.2,24.7,T2TTemp C
5,5,3.2,25.2,T2TTemp C
10,5,3.2,24,T2TTemp C
15,5,3.2,24.8,T2TTemp C
20,5,3.2,23.2,T2TTemp C
25,5,3.2,21.4,T2TTemp C
30,5,3.2,19.6,T2TTemp C
35,5,3.2,19.4,T2TTemp C
40,5,3.2,22.7,T2TTemp C
45,5,3.2,23,T2TTemp C
50,5,3.2,23.6,T2TTemp C
55,5,3.2,24.3,T2TTemp C
58,5,3.2,25.5,T2TTemp C
0,0,6.4,24.2,T3TTemp C
5,0,6.4,24.6,T3TTemp C
10,0,6.4,24.5,T3TTemp C
15,0,6.4,24.2,T3TTemp C
20,0,6.4,23.9,T3TTemp C
25,0,6.4,22.7,T3TTemp C
30,0,6.4,22.7,T3TTemp C
35,0,6.4,22,T3TTemp C
40,0,6.4,20.8,T3TTemp C
45,0,6.4,22.9,T3TTemp C
50,0,6.4,23.7,T3TTemp C
55,0,6.4,24.2,T3TTemp C
58,0,6.4,25.1,T3TTemp C
0,5,6.4,24.5,T3TTemp C
5,5,6.4,24.5,T3TTemp C
10,5,6.4,23.6,T3TTemp C
15,5,6.4,24.2,T3TTemp C
20,5,6.4,23.6,T3TTemp C
25,5,6.4,23.7,T3TTemp C
30,5,6.4,21.5,T3TTemp C
35,5,6.4,21.6,T3TTemp C
40,5,6.4,23.9,T3TTemp C
45,5,6.4,23.9,T3TTemp C
50,5,6.4,23.1,T3TTemp C
55,5,6.4,24.2,T3TTemp C
58,5,6.4,25.1,T3TTemp C
0,0,9.6,24.4,T4TTemp C
5,0,9.6,24.7,T4TTemp C
10,0,9.6,24.7,T4TTemp C
15,0,9.6,24.6,T4TTemp C
