cross_section,longitudinal,depth,Temperature,Unit
0,-10,0,24.3,T1TTemp C
5,-10,0,24.7,T1TTemp C
10,-10,0,23.3,T1TTemp C
15,-10,0,22.2,T1TTemp C
20,-10,0,24.4,T1TTemp C
25,-10,0,23.9,T1TTemp C
30,-10,0,22.7,T1TTemp C
35,-10,0,23.6,T1TTemp C
40,-10,0,23.3,T1TTemp C
45,-10,0,22,T1TTemp C
0,-5,0,16.8,T1TTemp C
5,-5,0,16.5,T1TTemp C
10,-5,0,19.2,T1TTemp C
15,-5,0,20.4,T1TTemp C
20,-5,0,19.3,T1TTemp C
25,-5,0,19.2,T1TTemp C
30,-5,0,18.7,T1TTemp C
35,-5,0,19,T1TTemp C
40,-5,0,20.6,T1TTemp C
45,-5,0,17.6,T1TTemp C
0,0,0,18.1,T1TTemp C
5,0,0,15.3,T1TTemp C
10,0,0,16.9,T1TTemp C
15,0,0,18.8,T1TTemp C
20,0,0,16.6,T1TTemp C
25,0,0,17.7,T1TTemp C
30,0,0,18.3,T1TTemp C
35,0,0,19.3,T1TTemp C
40,0,0,14.9,T1TTemp C
45,0,0,13.6,T1TTemp C
0,5,0,13.7,T1TTemp C
5,5,0,15.7,T1TTemp C
10,5,0,16.3,T1TTemp C
15,5,0,18.5,T1TTemp C
20,5,0,20.5,T1TTemp C
25,5,0,17.2,T1TTemp C
30,5,0,17.9,T1TTemp C
35,5,0,14.6,T1TTemp C
40,5,0,13.5,T1TTemp C
45,5,0,14.7,T1TTemp C
0,10,0,15.2,T1TTemp C
5,10,0,16.5,T1TTemp C
10,10,0,19.5,T1TTemp C
15,10,0,19,T1TTemp C
20,10,0,17.2,T1TTemp C
25,10,0,19.1,T1TTemp C
30,10,0,14.6,T1TTemp C
35,10,0,15.8,T1TTemp C
40,10,0,16.1,T1TTemp C
45,10,0,15.3,T1TTemp C
0,15,0,15.3,T1TTemp C
5,15,0,15.3,T1TTemp C
10,15,0,17.5,T1TTemp C
15,15,0,22.4,T1TTemp C
20,15,0,16.7,T1TTemp C
25,15,0,14.2,T1TTemp C
30,15,0,13.6,T1TTemp C
35,15,0,14.3,T1TTemp C
40,15,0,14.3,T1TTemp C
45,15,0,15.2,T1TTemp C
0,20,0,15.1,T1TTemp C
5,20,0,16.7,T1TTemp C
10,20,0,21.6,T1TTemp C
15,20,0,19,estimate
20,20,0,20.6,T1TTemp C
25,20,0,15.9,T1TTemp C
30,20,0,15.2,T1TTemp C
35,20,0,15,T1TTemp C
40,20,0,14.4,T1TTemp C
45,20,0,13.9,T1TTemp C
0,25,0,15,T1TTemp C
5,25,0,15.7,T1TTemp C
10,25,0,16.4,T1TTemp C
15,25,0,18.9,T1TTemp C
20,25,0,15.6,T1TTemp C
25,25,0,16.7,T1TTemp C
30,25,0,21,T1TTemp C
35,25,0,21.1,T1TTemp C
40,25,0,19.6,T1TTemp C
45,25,0,16.6,T1TTemp C
