cross_section,longitudinal,depth,Temperature,Unit,
0,175,0,24.9,T1TTemp C,
5,175,0,25,T1TTemp C,
10,175,0,25,T1TTemp C,
15,175,0,25,T1TTemp C,
20,175,0,25,T1TTemp C,
25,175,0,25,T1TTemp C,
30,175,0,24.9,T1TTemp C,
35,175,0,24.8,T1TTemp C,
40,175,0,24.8,T1TTemp C,
45,175,0,24.7,T1TTemp C,
50,175,0,24.6,T1TTemp C,
55,175,0,24.5,T1TTemp C,
58,175,0,24.5,T1TTemp C,
0,180,0,24.9,T1TTemp C,
5,180,0,24.8,T1TTemp C,
10,180,0,24.1,T1TTemp C,
15,180,0,23.1,T1TTemp C,
20,180,0,22.6,T1TTemp C,
25,180,0,22.7,T1TTemp C,
30,180,0,24.3,T1TTemp C,
35,180,0,21.4,T1TTemp C,
40,180,0,21.3,T1TTemp C,
45,180,0,22.2,T1TTemp C,
50,180,0,24.6,T1TTemp C,
55,180,0,24.7,T1TTemp C,
58,180,0,24.5,T1TTemp C,
0,185,0,24.8,T1TTemp C,
5,185,0,24.6,T1TTemp C,
10,185,0,23.5,T1TTemp C,
15,185,0,22.5,T1TTemp C,
20,185,0,22.1,T1TTemp C,
25,185,0,20,T1TTemp C,
30,185,0,22.2,T1TTemp C,
35,185,0,21.7,T1TTemp C,
40,185,0,23.8,T1TTemp C,
45,185,0,24.4,T1TTemp C,
50,185,0,24.5,T1TTemp C,
55,185,0,24.4,T1TTemp C,
58,185,0,24.6,T1TTemp C,
0,190,0,24.6,T1TTemp C,
5,190,0,23.1,T1TTemp C,
10,190,0,23,T1TTemp C,
15,190,0,22,T1TTemp C,
20,190,0,21.7,T1TTemp C,
25,190,0,22,T1TTemp C,
30,190,0,23,T1TTemp C,
35,190,0,23.4,T1TTemp C,
40,190,0,23.5,T1TTemp C,
45,190,0,24,T1TTemp C,
50,190,0,23.8,T1TTemp C,
55,190,0,23.9,T1TTemp C,
58,190,0,24.3,T1TTemp C,
0,195,0,24.3,T1TTemp C,
5,195,0,24,T1TTemp C,
10,195,0,23.1,T1TTemp C,
15,195,0,23,T1TTemp C,
20,195,0,23.2,T1TTemp C,
25,195,0,22.9,T1TTemp C,
30,195,0,22.9,T1TTemp C,
35,195,0,22.8,T1TTemp C,
40,195,0,23,T1TTemp C,
45,195,0,23.5,T1TTemp C,
50,195,0,23.6,T1TTemp C,
55,195,0,23.9,T1TTemp C,
58,195,0,24.1,T1TTemp C,
0,200,0,24.3,T1TTemp C,
5,200,0,24,T1TTemp C,
10,200,0,23.8,T1TTemp C,
15,200,0,23.8,T1TTemp C,
20,200,0,23.4,T1TTemp C,
25,200,0,23.6,T1TTemp C,
30,200,0,23.2,T1TTemp C,
35,200,0,23.7,T1TTemp C,
40,200,0,23.9,T1TTemp C,
45,200,0,23.8,T1TTemp C,
50,200,0,24.1,T1TTemp C,
55,200,0,24.2,T1TTemp C,
58,200,0,24.2,T1TTemp C,
0,205,0,24.6,T1TTemp C,
5,205,0,24.5,T1TTemp C,
10,205,0,24.1,T1TTemp C,
15,205,0,24.1,T1TTemp C,
20,205,0,24,T1TTemp C,
25,205,0,24.1,T1TTemp C,
30,205,0,24.1,T1TTemp C,
35,205,0,24.1,T1TTemp C,
40,205,0,24.1,T1TTemp C,
45,205,0,24.2,T1TTemp C,
50,205,0,24.3,T1TTemp C,
55,205,0,24.2,T1TTemp C,
58,205,0,24.3,T1TTemp C,
0,210,0,24.7,T1TTemp C,
5,210,0,24.5,T1TTemp C,
10,210,0,24.4,T1TTemp C,
15,210,0,24.4,T1TTemp C,
20,210,0,24.2,T1TTemp C,
25,210,0,24.3,T1TTemp C,
30,210,0,24.3,T1TTemp C,
35,210,0,24.2,T1TTemp C,
40,210,0,24.1,T1TTemp C,
45,210,0,24.2,T1TTemp C,
50,210,0,24.2,T1TTemp C,
55,210,0,24.2,T1TTemp C,
58,210,0,24.2,T1TTemp C,
0,175,3.2,25.3,T2TTemp C,
5,175,3.2,25.3,T2TTemp C,
10,175,3.2,25.3,T2TTemp C,
15,175,3.2,25.3,T2TTemp C,
20,175,3.2,25.3,T2TTemp C,
25,175,3.2,25.2,T2TTemp C,
30,175,3.2,25.1,T2TTemp C,
35,175,3.2,25.1,T2TTemp C,
40,175,3.2,25.1,T2TTemp C,
45,175,3.2,24.9,T2TTemp C,
50,175,3.2,24.9,T2TTemp C,
55,175,3.2,24.8,T2TTemp C,
58,175,3.2,24.8,T2TTemp C,
0,180,3.2,25.2,T2TTemp C,
5,180,3.2,24.6,T2TTemp C,
10,180,3.2,24.1,T2TTemp C,
15,180,3.2,23.3,T2TTemp C,
20,180,3.2,23.2,T2TTemp C,
25,180,3.2,23,T2TTemp C,
30,180,3.2,23,T2TTemp C,
35,180,3.2,22.3,T2TTemp C,
40,180,3.2,22.5,T2TTemp C,
45,180,3.2,23.4,T2TTemp C,
50,180,3.2,24.9,T2TTemp C,
55,180,3.2,24.8,T2TTemp C,
58,180,3.2,24.6,T2TTemp C,
0,185,3.2,25,T2TTemp C,
5,185,3.2,24.9,T2TTemp C,
10,185,3.2,24.3,T2TTemp C,
15,185,3.2,22.9,T2TTemp C,
20,185,3.2,22.9,T2TTemp C,
25,185,3.2,22.6,T2TTemp C,
30,185,3.2,23,T2TTemp C,
35,185,3.2,23.5,T2TTemp C,
40,185,3.2,24.5,T2TTemp C,
45,185,3.2,24.6,T2TTemp C,
50,185,3.2,24.7,T2TTemp C,
55,185,3.2,24.6,T2TTemp C,
58,185,3.2,24.9,T2TTemp C,
0,190,3.2,24.9,T2TTemp C,
5,190,3.2,24.2,T2TTemp C,
10,190,3.2,23.9,T2TTemp C,
15,190,3.2,23.4,T2TTemp C,
20,190,3.2,22.9,T2TTemp C,
25,190,3.2,23.4,T2TTemp C,
30,190,3.2,23.8,T2TTemp C,
35,190,3.2,24.1,T2TTemp C,
40,190,3.2,24.1,T2TTemp C,
45,190,3.2,24.5,T2TTemp C,
50,190,3.2,24.2,T2TTemp C,
55,190,3.2,24.3,T2TTemp C,
58,190,3.2,24.7,T2TTemp C,
0,195,3.2,24.7,T2TTemp C,
5,195,3.2,24.6,T2TTemp C,
10,195,3.2,24.2,T2TTemp C,
15,195,3.2,23.9,T2TTemp C,
20,195,3.2,23.8,T2TTemp C,
25,195,3.2,23.5,T2TTemp C,
30,195,3.2,23.6,T2TTemp C,
35,195,3.2,23.8,T2TTemp C,
40,195,3.2,24.1,T2TTemp C,
45,195,3.2,24.1,T2TTemp C,
50,195,3.2,24.3,T2TTemp C,
55,195,3.2,24.6,T2TTemp C,
58,195,3.2,24.6,T2TTemp C,
0,200,3.2,25,T2TTemp C,
5,200,3.2,24.8,T2TTemp C,
10,200,3.2,24.6,T2TTemp C,
15,200,3.2,24.5,T2TTemp C,
20,200,3.2,24.2,T2TTemp C,
25,200,3.2,24.3,T2TTemp C,
30,200,3.2,24.2,T2TTemp C,
35,200,3.2,24.3,T2TTemp C,
40,200,3.2,24.6,T2TTemp C,
45,200,3.2,24.7,T2TTemp C,
50,200,3.2,24.9,T2TTemp C,
55,200,3.2,24.9,T2TTemp C,
58,200,3.2,24.8,T2TTemp C,
0,205,3.2,25.1,T2TTemp C,remeasured
5,205,3.2,24.9,T2TTemp C,remeasured
10,205,3.2,24.8,T2TTemp C,remeasured
15,205,3.2,24.7,T2TTemp C,
20,205,3.2,24.6,T2TTemp C,
25,205,3.2,24.7,T2TTemp C,
30,205,3.2,24.6,T2TTemp C,
35,205,3.2,24.6,T2TTemp C,
40,205,3.2,24.8,T2TTemp C,
45,205,3.2,24.8,T2TTemp C,
50,205,3.2,24.9,T2TTemp C,
55,205,3.2,24.9,T2TTemp C,
58,205,3.2,24.9,T2TTemp C,
0,210,3.2,25.3,T2TTemp C,
5,210,3.2,25.2,T2TTemp C,
10,210,3.2,25,T2TTemp C,
15,210,3.2,25,T2TTemp C,
20,210,3.2,24.9,T2TTemp C,
25,210,3.2,24.9,T2TTemp C,
30,210,3.2,24.8,T2TTemp C,
35,210,3.2,24.8,T2TTemp C,
40,210,3.2,24.7,T2TTemp C,
45,210,3.2,24.8,T2TTemp C,
50,210,3.2,24.8,T2TTemp C,
55,210,3.2,24.8,T2TTemp C,
58,210,3.2,25.8,T2TTemp C,
0,175,6.4,25,T3TTemp C,
5,175,6.4,25,T3TTemp C,
10,175,6.4,25,T3TTemp C,
15,175,6.4,25,T3TTemp C,
20,175,6.4,25,T3TTemp C,
25,175,6.4,24.9,T3TTemp C,
30,175,6.4,24.9,T3TTemp C,
35,175,6.4,24.8,T3TTemp C,
40,175,6.4,24.8,T3TTemp C,
45,175,6.4,24.7,T3TTemp C,
50,175,6.4,24.6,T3TTemp C,
55,175,6.4,24.6,T3TTemp C,
58,175,6.4,24.6,T3TTemp C,
0,180,6.4,25,T3TTemp C,
5,180,6.4,24.9,T3TTemp C,
10,180,6.4,24.1,T3TTemp C,
15,180,6.4,24.2,T3TTemp C,
